Activity,fBodyAccMagenergy,fBodyAccMagentropy,fBodyAccMagiqr,fBodyAccMagkurtosis,fBodyAccMagmad,fBodyAccMagmax,fBodyAccMagmean,fBodyAccMagmin,fBodyAccMagskewness,fBodyAccMagsma,fBodyAccMagstd,fBodyAcccorrelationXY,fBodyAcccorrelationXZ,fBodyAcccorrelationYZ,fBodyAccenergyX,fBodyAccenergyY,fBodyAccenergyZ,fBodyAccentropyX,fBodyAccentropyY,fBodyAccentropyZ,fBodyAcciqrX,fBodyAcciqrY,fBodyAcciqrZ,fBodyAcckurtosisX,fBodyAcckurtosisY,fBodyAcckurtosisZ,fBodyAccmadX,fBodyAccmadY,fBodyAccmadZ,fBodyAccmaxX,fBodyAccmaxY,fBodyAccmaxZ,fBodyAccmeanX,fBodyAccmeanY,fBodyAccmeanZ,fBodyAccminX,fBodyAccminY,fBodyAccminZ,fBodyAccskewnessX,fBodyAccskewnessY,fBodyAccskewnessZ,fBodyAccstdX,fBodyAccstdY,fBodyAccstdZ,tBodyAccMagenergy,tBodyAccMagentropy,tBodyAccMagiqr,tBodyAccMagkurtosis,tBodyAccMagmad,tBodyAccMagmax,tBodyAccMagmean,tBodyAccMagmin,tBodyAccMagskewness,tBodyAccMagstd,tBodyAcccorrelationXY,tBodyAcccorrelationXZ,tBodyAcccorrelationYZ,tBodyAccenergyX,tBodyAccenergyY,tBodyAccenergyZ,tBodyAccentropyX,tBodyAccentropyY,tBodyAccentropyZ,tBodyAcciqrX,tBodyAcciqrY,tBodyAcciqrZ,tBodyAcckurtosisX,tBodyAcckurtosisY,tBodyAcckurtosisZ,tBodyAccmadX,tBodyAccmadY,tBodyAccmadZ,tBodyAccmaxX,tBodyAccmaxY,tBodyAccmaxZ,tBodyAccmeanX,tBodyAccmeanY,tBodyAccmeanZ,tBodyAccminX,tBodyAccminY,tBodyAccminZ,tBodyAccskewnessX,tBodyAccskewnessY,tBodyAccskewnessZ,tBodyAccstdX,tBodyAccstdY,tBodyAccstdZ
2,0.068619833,2.74293169,0.209274838,-0.298440848,0.143743947,0.587172059,0.203620553,0.04991432,0.964221046,0.326396884,0.16886808,0.621709228,0.426740596,0.809905474,0.017783507,0.016315172,0.034521155,2.837405044,2.742429857,2.411511712,0.133762032,0.059778168,0.109628572,-1.25786012,-0.474546933,1.923218636,0.06780287,0.064296937,0.105664398,0.246784628,0.263746205,0.543074835,0.111511511,0.099533529,0.115351845,0.042844582,0.014325209,0.009030417,0.607629539,0.958162433,1.729794096,0.074940805,0.082028415,0.149251003,1.441016498,2.764802304,1.277406419,-0.69478887,0.621021271,2.474403187,0.95889097,0.141234055,0.712172254,0.740014754,0.220601409,0.415197359,0.501210815,0.373453644,0.342618609,0.724944245,#NAME?,#NAME?,#NAME?,0.303527832,0.619415283,1.153289795,1.753019515,-0.763108414,-1.349789014,0.402923169,0.43093533,0.59299059,0.758178711,0.462738037,0.606964111,-0.09614999,-0.201484317,-0.543074835,-1.65145874,-1.201324463,-1.562225342,-1.272395103,-0.647623375,-0.119249682,0.618400569,0.563137473,0.671948411
2,0.073658546,2.69169756,0.261914185,-0.816093365,0.152700176,0.540458508,0.206155603,0.0376639,0.798035429,0.328261888,0.18087657,0.696055622,0.318303992,0.723203885,0.019141741,0.019122405,0.0353944,2.728927644,2.64176076,2.467286194,0.140587221,0.083803055,0.126724808,-0.874982261,0.019264673,1.371069782,0.071684001,0.075056779,0.10736472,0.261111089,0.304695097,0.515106928,0.108357471,0.099554663,0.120349754,0.018395161,0.017448143,0.019932195,0.68280891,1.228930546,1.612010036,0.088149981,0.098345504,0.148175077,1.546829462,2.782386696,1.277406419,-0.871880747,0.634050528,2.474403187,1.013343837,0.141234055,0.512273058,0.738892357,0.420934115,0.510683266,0.661261338,0.401976554,0.401570514,0.743282394,#NAME?,#NAME?,#NAME?,0.303527832,0.675247192,1.167495728,1.576228095,-0.786267068,-1.309948092,0.417716028,0.489245564,0.616963082,0.860870361,0.860046387,0.621505737,-0.037204561,-0.122522263,-0.515106928,-1.65145874,-1.201324463,-1.562225342,-1.214467103,-0.4049802,-0.023295114,0.64855377,0.637092418,0.708409916
2,0.080253681,2.679038949,0.222622003,-0.513096273,0.157095488,0.606043245,0.212535388,0.026917247,0.92233041,0.341851703,0.191928395,0.726179888,0.412925525,0.776855824,0.021257686,0.021214761,0.037781234,2.669538836,2.668825292,2.486880676,0.160468643,0.07440542,0.111335048,-0.742890721,0.617933347,0.952165515,0.083717576,0.077500539,0.111082136,0.306538635,0.342268626,0.462732224,0.109930965,0.105430878,0.12648986,0.011778332,0.010841714,0.009693457,0.746224928,1.439675448,1.529819174,0.098140267,0.102975944,0.151230378,1.685327291,2.828931671,1.298570403,-0.964605538,0.614347003,2.474403187,1.093297841,0.17454162,0.37707897,0.717306405,0.488386578,0.578904351,0.70079474,0.446411398,0.445509971,0.793405923,#NAME?,#NAME?,#NAME?,0.377380371,0.675247192,1.255645752,1.219056523,-0.880158166,-1.172765301,0.451470131,0.535495265,0.661855685,0.967895508,0.967803955,0.984359741,0.011778332,-0.082053775,-0.462732224,-1.65145874,-1.201324463,-1.562225342,-1.091034077,-0.3083032,0.152788256,0.684533639,0.67876064,0.779903233
2,0.081758228,2.653976123,0.203589514,-0.17224643,0.159768243,0.640682115,0.210390841,0.034393147,1.037645513,0.335042533,0.198415268,0.712552012,0.48193613,0.778692357,0.021086143,0.021661357,0.039010728,2.638018499,2.57455713,2.460857895,0.177291838,0.099159199,0.108806471,-0.770524635,1.007057427,0.985683287,0.084888813,0.083568578,0.113091953,0.307712907,0.366910488,0.485167527,0.10786919,0.100178298,0.126995045,0.012122476,0.010681642,0.00699103,0.72901886,1.529560048,1.531678876,0.099613751,0.110485064,0.15500689,1.716922793,2.858865305,1.201298478,-0.777536518,0.562542023,2.474403187,1.127218545,0.17454162,0.357019631,0.684555478,0.478802384,0.575366195,0.723290968,0.442808994,0.454888506,0.819225293,#NAME?,#NAME?,#NAME?,0.45954895,0.760528564,1.255645752,1.29342896,-0.997133479,-1.200284741,0.459430444,0.566912869,0.68461557,0.860870361,0.860046387,0.902679443,0.022226243,-0.057857695,-0.440028599,-1.65145874,-1.201324463,-1.562225342,-1.19006923,-0.405824559,0.197764376,0.681491554,0.688562301,0.810481419
2,0.082015048,2.654902282,0.226835756,0.04976726,0.159393058,0.655687346,0.210148881,0.03953484,1.1055572,0.329663698,0.199361783,0.562860901,0.391928944,0.78699535,0.021133386,0.021760995,0.039120667,2.618620594,2.55982699,2.439520167,0.150613836,0.063083702,0.109537002,-0.75151184,2.21420615,1.01172136,0.086043239,0.081699759,0.113449308,0.307178868,0.397023152,0.490045379,0.107274332,0.096543102,0.125846264,0.000945318,0.026607863,0.005589383,0.731453333,1.884631378,1.537410562,0.100533,0.114291057,0.156357134,1.722316,2.864292472,1.080465964,-0.747364699,0.556514097,2.474403187,1.132972474,0.17454162,0.3661275,0.678692745,0.469396106,0.541762697,0.75508218,0.443801111,0.456980892,0.821533997,#NAME?,#NAME?,#NAME?,0.45954895,0.760528564,1.255645752,1.107806164,-0.948623446,-1.227728192,0.466896317,0.574165881,0.689817675,0.860870361,0.860046387,0.902679443,-0.000945318,-0.026889619,-0.435062953,-1.65145874,-1.201324463,-1.562225342,-1.08479749,-0.524028392,0.189343354,0.68263477,0.692149357,0.814780298
2,0.082360243,2.644682357,0.22531787,-0.089643495,0.161708882,0.650416726,0.210021022,0.029245559,1.055745914,0.329105151,0.200409541,0.516749592,0.376078218,0.787627821,0.02147883,0.021761309,0.039120104,2.605797103,2.559913998,2.439190706,0.136654348,0.063117261,0.108585374,-0.495473058,2.213511303,1.019537327,0.086137966,0.081699799,0.113369026,0.320250401,0.397005552,0.49052844,0.106773934,0.096550244,0.125780973,0.010640726,0.026589157,0.005924051,0.83685735,1.884449609,1.539975387,0.102869163,0.114286163,0.156410402,1.729565103,2.880511801,1.080465964,-0.721004058,0.544159292,2.474403187,1.145014752,0.324797951,0.430155719,0.662896401,0.472388113,0.519990699,0.75464769,0.45105543,0.456987483,0.821522191,#NAME?,#NAME?,#NAME?,0.555206299,0.760528564,1.255645752,0.858570933,-0.948735032,-1.230424396,0.483655657,0.574187194,0.690390105,0.860870361,0.860046387,0.902679443,-0.022796631,-0.026909964,-0.434516543,-1.65145874,-1.201324463,-1.562225342,-0.972572404,-0.523932178,0.187660905,0.687795413,0.692153526,0.815078795
2,0.084222481,2.7161942,0.194843663,0.525285114,0.148738356,0.673886656,0.220130889,0.042050637,1.233756612,0.344341911,0.193786264,0.510731455,0.271260341,0.801348446,0.021504705,0.02226657,0.040451207,2.661758908,2.535870656,2.591729145,0.132900161,0.091658677,0.073147475,-0.367926461,1.377415946,2.157783773,0.082887055,0.0837234,0.102497012,0.320589015,0.383783311,0.529963974,0.109889788,0.099223814,0.135228309,0.016250999,0.005515947,0.022800936,0.853923422,1.611668598,1.872629993,0.099500683,0.114202734,0.152554045,1.768672095,2.900247974,0.943215371,-0.563648907,0.515453982,2.474403187,1.175155328,0.324797951,0.436347992,0.638017361,0.438455939,0.514820738,0.676523955,0.451598795,0.467597961,0.849475339,#NAME?,#NAME?,#NAME?,0.555206299,0.760528564,1.403717041,0.857266684,-1.018766771,-1.426189383,0.492272755,0.576171667,0.743698362,0.860870361,0.860046387,0.902679443,-0.020731608,-0.042027065,-0.383631388,-1.65145874,-1.201324463,-1.562225342,-0.97260972,-0.405568233,0.120346855,0.68827861,0.699373485,0.858730116
2,0.085493874,2.741462805,0.223829554,0.670231721,0.150187854,0.680582242,0.224933975,0.058810723,1.269099315,0.352770184,0.191424946,0.533544499,0.330520168,0.809031541,0.022527459,0.021076129,0.041890285,2.682586557,2.496624154,2.683522655,0.167476626,0.068718941,0.062628458,-1.177455073,1.306616659,2.357739102,0.086197445,0.082313514,0.098271739,0.278096658,0.374669586,0.531788071,0.114388339,0.093346902,0.145034944,0.017814105,0.015707587,0.044625679,0.614267681,1.64743794,1.957909309,0.09957362,0.113932476,0.147979418,1.79537135,2.898246766,1.080465964,-0.602740205,0.510213726,2.474403187,1.184322638,0.324797951,0.353377064,0.642175055,0.475334875,0.523937488,0.681438543,0.473076649,0.442598706,0.879695995,#NAME?,#NAME?,#NAME?,0.942367554,0.675247192,1.512634277,0.819441663,-0.915507994,-1.570414661,0.515276504,0.544510614,0.793666571,0.860870361,0.860046387,0.902679443,0.023477463,-0.0675354,-0.390127273,-1.65145874,-1.201324463,-1.562225342,-1.042919095,-0.401423824,0.076364832,0.704380388,0.678188439,0.873997449
2,0.08709038,2.748293043,0.2422628,1.173430226,0.150747618,0.706570885,0.226644183,0.05984094,1.424034416,0.357444145,0.193672233,0.497464285,0.431582071,0.908963372,0.022084715,0.025981799,0.039023865,2.6138062,2.820591188,2.398663789,0.177179885,0.028411915,0.092862688,-1.17840085,2.708595041,2.532038275,0.089165798,0.069029045,0.112319565,0.289502354,0.397560286,0.55041788,0.110011466,0.128482948,0.118949731,0.007252668,0.045889183,0.012574181,0.574092808,1.918846148,1.937587585,0.10237823,0.099737796,0.161612401,1.828897973,2.892027494,1.099439118,-0.805072833,0.539933769,2.474403187,1.190535189,0.332130147,0.289245198,0.657343238,0.377892656,0.537308599,0.634081105,0.463779018,0.545617783,0.819501172,#NAME?,#NAME?,#NAME?,0.620742798,1.142562866,1.511047363,0.940442713,-0.954227723,-1.543622014,0.516306905,0.579429505,0.784212489,0.860870361,0.860046387,0.902679443,0.024559384,-0.160792033,-0.31998262,-1.65145874,-1.556427002,-1.562225342,-1.113809199,-0.359540281,-0.122242189,0.697376976,0.738750222,0.867737235
2,0.08211699,2.624903637,0.283834417,0.649766746,0.162293006,0.692628155,0.205691882,0.02881612,1.261102225,0.323014672,0.204446158,0.561865782,0.436173297,0.832628872,0.022486589,0.020521382,0.03910902,2.668395683,2.487929036,2.367187257,0.164140181,0.04545145,0.089472694,-1.184972659,1.373153995,2.499912578,0.087785376,0.082720533,0.112831961,0.281831453,0.371680422,0.551596324,0.113559494,0.091102413,0.118352765,0.012318929,0.012939681,0.004470233,0.606510321,1.691147137,1.906974684,0.100351242,0.11328203,0.162347543,1.724456787,2.885475577,1.099439118,-0.741690912,0.543980563,2.474403187,1.145202417,0.402067674,0.477975027,0.658495726,0.469898316,0.536033829,0.725559626,0.472218364,0.430949012,0.821289412,#NAME?,#NAME?,#NAME?,0.620025635,0.675247192,1.511047363,0.727107954,-0.840199652,-1.570675563,0.530958388,0.514289354,0.796714731,0.860870361,0.860046387,0.902679443,0.012318929,-0.092394874,-0.30539667,-1.65145874,-1.201324463,-1.562225342,-1.041670353,-0.336095478,-0.160004423,0.704038307,0.665982589,0.874313102
