Activity,fBodyAccMagenergy,fBodyAccMagentropy,fBodyAccMagiqr,fBodyAccMagkurtosis,fBodyAccMagmad,fBodyAccMagmax,fBodyAccMagmean,fBodyAccMagmin,fBodyAccMagskewness,fBodyAccMagsma,fBodyAccMagstd,fBodyAcccorrelationXY,fBodyAcccorrelationXZ,fBodyAcccorrelationYZ,fBodyAccenergyX,fBodyAccenergyY,fBodyAccenergyZ,fBodyAccentropyX,fBodyAccentropyY,fBodyAccentropyZ,fBodyAcciqrX,fBodyAcciqrY,fBodyAcciqrZ,fBodyAcckurtosisX,fBodyAcckurtosisY,fBodyAcckurtosisZ,fBodyAccmadX,fBodyAccmadY,fBodyAccmadZ,fBodyAccmaxX,fBodyAccmaxY,fBodyAccmaxZ,fBodyAccmeanX,fBodyAccmeanY,fBodyAccmeanZ,fBodyAccminX,fBodyAccminY,fBodyAccminZ,fBodyAccskewnessX,fBodyAccskewnessY,fBodyAccskewnessZ,fBodyAccstdX,fBodyAccstdY,fBodyAccstdZ,tBodyAccMagenergy,tBodyAccMagentropy,tBodyAccMagiqr,tBodyAccMagkurtosis,tBodyAccMagmad,tBodyAccMagmax,tBodyAccMagmean,tBodyAccMagmin,tBodyAccMagskewness,tBodyAccMagstd,tBodyAcccorrelationXY,tBodyAcccorrelationXZ,tBodyAcccorrelationYZ,tBodyAccenergyX,tBodyAccenergyY,tBodyAccenergyZ,tBodyAccentropyX,tBodyAccentropyY,tBodyAccentropyZ,tBodyAcciqrX,tBodyAcciqrY,tBodyAcciqrZ,tBodyAcckurtosisX,tBodyAcckurtosisY,tBodyAcckurtosisZ,tBodyAccmadX,tBodyAccmadY,tBodyAccmadZ,tBodyAccmaxX,tBodyAccmaxY,tBodyAccmaxZ,tBodyAccmeanX,tBodyAccmeanY,tBodyAccmeanZ,tBodyAccminX,tBodyAccminY,tBodyAccminZ,tBodyAccskewnessX,tBodyAccskewnessY,tBodyAccskewnessZ,tBodyAccstdX,tBodyAccstdY,tBodyAccstdZ
1,0.009750016,2.822070969,0.09523596,-0.784904151,0.0468745,0.185648233,0.081292992,0.0197476,0.834436672,0.130812611,0.057432908,0.467636956,0.829183719,0.714004711,0.003612555,0.001289966,0.004847495,2.795114521,2.748670135,2.755361599,0.054638996,0.011240508,0.071083821,-0.7575754,0.102180177,-0.805527749,0.029971923,0.017388581,0.037329966,0.117606373,0.073793501,0.13510181,0.048635602,0.02757405,0.054602958,0.008384341,0.00547766,0.012714143,0.806201167,1.298036785,0.88132954,0.036186878,0.023582189,0.044264122,0.20475034,2.943166528,0.296308626,-1.244643588,0.150836683,0.683569096,0.415412539,0.118023127,-0.12168865,0.183825733,-0.451701679,0.299625715,0.148295698,0.07586366,0.027089286,0.101797394,#NAME?,#NAME?,#NAME?,0.474456787,0.186431885,0.303604126,-0.992314102,-0.70623425,-0.207136482,0.243816142,0.129870426,0.244328921,0.437103271,0.234268188,0.483078003,0.008384341,0.011734735,-0.013489496,-0.498977661,-0.298583984,-0.674575806,-0.031356949,-0.60347087,-0.40528777,0.282104645,0.168223546,0.326643841
1,0.011830741,2.807505871,0.083476273,-0.31794773,0.053074006,0.220902801,0.087671456,0.034161324,1.098222889,0.140017433,0.065967265,0.651926294,0.884107213,0.444569308,0.003637129,0.001436366,0.006757247,2.795732948,2.708608328,2.741468093,0.038887354,0.010955845,0.066885142,0.022820842,2.064445727,-0.264985456,0.028930079,0.018090558,0.043571304,0.12829552,0.096237169,0.173061474,0.048956944,0.027945559,0.063114929,0.007555578,0.003261278,0.021578329,0.947520103,1.755469175,1.130421087,0.03608828,0.026233221,0.053967028,0.248445569,2.905241614,0.342364324,-0.619433628,0.178990236,0.90651028,0.445834413,0.045562499,0.087258493,0.228388064,-0.473090928,0.190376593,0.324789406,0.076379709,0.030163678,0.141902183,#NAME?,#NAME?,#NAME?,0.473114014,0.372634888,0.444229126,-0.894138322,-1.221940021,-0.281938116,0.24201948,0.144498795,0.282226147,0.437103271,0.234268188,0.483078003,0.035305205,-0.011843727,-0.06804548,-0.498977661,-0.298583984,-0.8465271,-0.265423288,-0.27373973,-0.521667969,0.280873484,0.177551609,0.37965194
1,0.011482777,2.750924123,0.079535497,-0.370417575,0.055027147,0.213559596,0.083113983,0.021182478,1.075908387,0.131215851,0.069307899,0.569230642,0.887392873,0.379618658,0.003553922,0.001365336,0.006563519,2.794535694,2.709781415,2.556932877,0.045016767,0.008241116,0.062464138,-0.607725478,1.537121952,0.039330812,0.029882149,0.018291888,0.048334424,0.118214827,0.091565953,0.18700958,0.04826472,0.027207515,0.055743615,0.010393394,0.006581923,0.005669461,0.83885458,1.670303258,1.20570688,0.035856113,0.025619154,0.060240991,0.241138315,2.958491662,0.212248593,-0.821314731,0.149306019,0.816491405,0.455975898,0.165449345,-0.059322901,0.186776631,-0.44292575,0.276623515,0.265125516,0.074632365,0.028672048,0.137833903,#NAME?,#NAME?,#NAME?,0.473114014,0.314651489,0.485824585,-0.885176819,-1.081250738,-0.667856853,0.238764964,0.139417583,0.288116455,0.437103271,0.234268188,0.483078003,0.023890904,-0.007710048,-0.081420898,-0.498977661,-0.298583984,-0.785018921,-0.183653829,-0.308704072,-0.243308231,0.278863172,0.173329838,0.371166764
1,0.011858535,2.744564776,0.068144805,-0.175235,0.055199801,0.23052152,0.084398802,0.015994093,1.084309265,0.132077854,0.070513447,0.63397645,0.806133958,0.267723717,0.003626317,0.001519976,0.006712242,2.783226446,2.734587985,2.474218144,0.046723251,0.027971282,0.048798428,-0.825849286,0.346014596,0.69965929,0.030858159,0.019264787,0.049471109,0.115065862,0.088262068,0.204245749,0.048658584,0.030013259,0.053406011,0.006762508,0.002685547,0.003239463,0.722622336,1.181605623,1.410012016,0.036353702,0.025497838,0.063663507,0.249029236,2.974493874,0.211276127,-0.577619287,0.137938555,0.816491405,0.469237939,0.170998969,-0.052033305,0.174032303,-0.482992938,0.313729262,0.226620346,0.076152647,0.031919506,0.140957084,#NAME?,#NAME?,#NAME?,0.474456787,0.319366455,0.485824585,-0.940087173,-1.186675009,-0.697562476,0.241341312,0.153321766,0.288407514,0.437103271,0.255523682,0.483078003,0.021185739,0.002685547,-0.099312919,-0.498977661,-0.298583984,-0.785018921,-0.181510811,-0.285407581,-0.100394466,0.28193794,0.183051654,0.371010417
1,0.013517228,2.838982398,0.066020086,-0.08793687,0.053480764,0.232371541,0.095729345,0.034687887,1.208765302,0.14921577,0.067607514,0.564995832,0.790908458,0.473609705,0.005121679,0.001449839,0.00694571,2.836140005,2.722106367,2.6531875,0.046088594,0.020272622,0.057754019,-0.495087535,0.807835938,-0.162013846,0.031222714,0.019457078,0.045212306,0.137575194,0.089898888,0.176634061,0.060067315,0.028358378,0.060790077,0.00273423,0.010471137,0.006952233,0.757900738,1.502454706,1.148061844,0.039865726,0.026036958,0.058419094,0.283861778,2.985688008,0.239768197,-0.470283559,0.143426064,0.876288218,0.504181083,0.217633772,0.347427005,0.176483354,-0.374337591,0.15513132,0.211528124,0.107555252,0.030446613,0.145859914,#NAME?,#NAME?,#NAME?,0.474456787,0.36138916,0.556259155,0.27558921,-1.276050594,-0.882848481,0.264122234,0.150647706,0.312294819,0.437103271,0.234268188,0.483078003,-0.00273423,-0.018429711,-0.066244216,-0.865936279,-0.298583984,-0.785018921,-0.79231444,-0.151808247,-0.269634226,0.336043397,0.177798499,0.385415618
1,0.012154639,2.813462177,0.081007646,-0.242801405,0.053141648,0.226008702,0.089345127,0.032389764,1.097149192,0.143063839,0.066186793,0.555183974,0.891925552,0.511411594,0.003395635,0.001667331,0.007091673,2.830497304,2.787833272,2.68913453,0.050765215,0.016896371,0.057143741,-0.363507488,0.204219611,-0.153318426,0.027583993,0.018767176,0.044297752,0.118967717,0.086423441,0.171757733,0.048219494,0.03227863,0.062565715,0.013080739,0.007581029,0.014599952,0.92338119,1.300557244,1.168644317,0.033526719,0.025626002,0.057758679,0.255247418,2.994009071,0.193653178,-0.508833629,0.127118546,0.816491405,0.481861283,0.217633772,0.234014868,0.15559556,-0.405136627,0.268933461,0.103553412,0.07130833,0.035013948,0.148925141,#NAME?,#NAME?,#NAME?,0.429489136,0.372634888,0.578430176,-0.560877461,-1.498687083,-0.948148389,0.221025324,0.165725327,0.320168009,0.437103271,0.234268188,0.483078003,0.042517526,-0.025963193,-0.058728899,-0.498977661,-0.298583984,-0.785018921,-0.366374181,-0.054264436,-0.287521171,0.270139999,0.189886422,0.390832266
1,0.012771609,2.870215815,0.066104125,0.318260166,0.048461039,0.235922945,0.095299308,0.042831858,1.298556198,0.152265531,0.062242536,0.565368363,0.801438184,0.566293793,0.003415261,0.001518204,0.007838144,2.812738524,2.882681919,2.797597914,0.056671568,0.022064253,0.034617561,-0.907707571,-0.745837346,0.702216298,0.027936096,0.016344324,0.041959558,0.109688825,0.071590488,0.198868305,0.048951506,0.033700057,0.069613968,0.001649086,0.011288742,0.028687977,0.431565501,0.713931008,1.530080386,0.032710267,0.020040839,0.056050351,0.268203788,2.994304948,0.230333304,-0.636765159,0.129103394,0.816491405,0.494563648,0.217633772,0.012742035,0.157451944,-0.322320426,0.277444282,0.261395245,0.07172048,0.031882275,0.164601032,#NAME?,#NAME?,#NAME?,0.406524658,0.288635254,0.619049072,-0.418757068,-1.238023225,-1.036718536,0.217863883,0.14612107,0.342311383,0.437103271,0.234268188,0.483078003,0.055534726,-0.048960368,-0.028687977,-0.498977661,-0.298583984,-0.785018921,-0.507427935,0.232057116,-0.405904753,0.268455197,0.175952878,0.41468896
1,0.012844768,2.788953598,0.072245917,0.257983615,0.054697794,0.247956562,0.090182107,0.018715083,1.210252757,0.141657224,0.070338847,0.61804993,0.744960621,0.342473218,0.003665521,0.002134843,0.007044404,2.807715668,2.898606266,2.383720149,0.057904349,0.0161341,0.023583793,-0.533627986,0.285269393,0.701214449,0.02804298,0.015851609,0.051586791,0.119528986,0.090491063,0.206656076,0.050414318,0.040599636,0.050643269,0.001291506,0.009620505,0.005937924,0.592384611,0.807544808,1.574636364,0.03435278,0.022601725,0.068583137,0.269740132,2.995981726,0.244311488,-0.742564182,0.132527942,0.816491405,0.496310201,0.217633772,0.162746998,0.156802843,-0.454046509,0.193854977,0.116140382,0.076975943,0.044831699,0.14793249,#NAME?,#NAME?,#NAME?,0.38331604,0.288635254,0.551971436,-0.522145185,0.328113462,-0.674305932,0.220326396,0.169942566,0.320616015,0.437103271,0.524917603,0.483078003,0.043251401,-0.03939674,0.0063898,-0.498977661,-0.298583984,-0.785018921,-0.527964624,0.916464006,-0.650749439,0.280821157,0.213174989,0.394063755
1,0.014570775,2.890479035,0.020073491,0.180641941,0.05032138,0.236877593,0.103207525,0.056634167,1.392066542,0.158892154,0.064147727,0.223189171,0.758343572,0.377202802,0.003250817,0.004266255,0.007053702,2.844539884,2.985968267,2.311988655,0.045983095,0.022861928,0.021660224,-1.120602866,0.52763325,0.632455569,0.026897978,0.01706015,0.05284761,0.102588388,0.116892497,0.205279191,0.048425236,0.061486184,0.048980735,0.00783001,0.037537678,0.003041552,0.414955027,1.19983341,1.569341268,0.03083998,0.022582955,0.069909367,0.305986276,2.975912226,0.244311488,1.590884405,0.153819222,1.108124414,0.516541614,0.217609735,1.134032444,0.202804312,-0.103609519,0.18385605,0.070084854,0.06826716,0.089591364,0.148127752,#NAME?,#NAME?,#NAME?,0.38331604,0.231521606,0.551971436,-0.076996914,5.194731539,-0.613392206,0.202864943,0.184383816,0.319035537,0.437103271,0.234268188,0.483078003,0.061585926,-0.116892497,0.015003749,-0.498977661,-1.102493286,-0.785018921,-0.574464824,-1.883288558,-0.716633387,0.260188491,0.282354181,0.394078383
1,0.013292589,2.822846273,0.057264929,0.396500706,0.052337946,0.249842312,0.09356066,0.031653693,1.312878975,0.148581833,0.069035798,0.713370223,0.681484493,0.533348992,0.003618004,0.00155601,0.008118575,2.847252482,2.8731638,2.653370389,0.052960196,0.035524647,0.023103136,-1.285995417,-1.043580867,1.455295007,0.02896248,0.018197033,0.046996505,0.108195649,0.076060704,0.226210034,0.050903739,0.03380272,0.063875374,0.016979942,0.013010184,0.006520229,0.479823563,0.709490583,1.670244088,0.032835257,0.020833996,0.065118637,0.279144365,2.990766924,0.244311488,-0.66019841,0.139119171,0.816491405,0.502377456,0.205950664,0.266590464,0.167628516,-0.159483102,0.05760232,0.08372611,0.075978086,0.03267621,0.170490069,#NAME?,#NAME?,#NAME?,0.376953125,0.220275879,0.629867554,-0.067295251,-0.949618817,-0.999562159,0.210898263,0.13992185,0.35560293,0.437103271,0.234268188,0.483078003,0.085968018,-0.076060704,-0.014531453,-0.498977661,-0.311965942,-0.785018921,-0.676757975,0.485660264,-0.600789323,0.268359769,0.168034306,0.422839037
1,0.015764366,2.834569465,0.082822258,2.16715434,0.051464547,0.29730134,0.102498491,0.030079359,1.654430174,0.16207932,0.074305765,0.718826517,0.811242729,0.303415787,0.003440664,0.001400679,0.010923024,2.887593955,2.908073725,2.718886949,0.040967821,0.015387659,0.047139175,-0.603528039,-0.231098105,3.260723675,0.022661952,0.013793027,0.044327439,0.105816058,0.070944155,0.275614731,0.051465449,0.032996324,0.077617548,0.007310921,0.010390527,0.00463363,0.454062943,0.84398917,1.984775437,0.028836955,0.018097438,0.071717969,0.331051689,2.972684858,0.24636797,1.727168893,0.158266203,1.16660254,0.536179845,0.205950664,1.060109274,0.213871471,-0.31347043,0.317384308,-0.08621745,0.072253939,0.029414251,0.229383498,#NAME?,#NAME?,#NAME?,0.373245239,0.288635254,0.742935181,-0.416026993,-1.196845087,-0.832087445,0.209085893,0.141000899,0.417248784,0.437103271,0.234268188,0.483078003,0.041151501,-0.053120931,-0.064322335,-0.498977661,-0.298583984,-1.114212036,-0.326675459,0.376359457,-0.671304778,0.272192061,0.167098888,0.486321337
1,0.013664492,2.751499604,0.097058125,2.294682969,0.055526116,0.294843949,0.088835809,0.025245173,1.761333588,0.137541239,0.077854516,0.472240371,0.72666462,-0.09080531,0.002557856,0.001262509,0.009844127,2.838413749,2.831100262,2.588955251,0.035765919,0.020397371,0.046720207,-0.850234122,-0.210579154,3.80032831,0.023823048,0.015798878,0.047498296,0.091659905,0.068278663,0.280982532,0.042430172,0.029292464,0.065818603,0.008016357,0.00733405,0.009126595,0.682862516,1.068440053,2.208048113,0.02820308,0.020607857,0.07607654,0.286954333,2.990867718,0.251332616,-1.049088671,0.145876276,0.816491405,0.510032104,0.205950664,-0.018336197,0.167817357,-0.063940558,0.192239446,-0.09021764,0.053714983,0.026512692,0.206726657,#NAME?,#NAME?,#NAME?,0.178726196,0.296447754,0.864440918,0.453209361,-1.265328126,-1.501229663,0.168047639,0.144089472,0.415321194,0.404983521,0.288574219,0.483078003,0.029351371,-0.018758138,-0.072409494,-0.498977661,-0.202560425,-0.785018921,-0.620565466,0.465357816,-0.316648905,0.235576218,0.165737339,0.459954018
1,0.015582851,2.755402088,0.107348843,2.252863998,0.060010977,0.314045371,0.095052615,0.029632203,1.761215367,0.147091048,0.082917094,0.431252053,0.745895455,-0.058937251,0.003939188,0.001233007,0.010410656,2.831773431,2.746934985,2.584053668,0.063933466,0.027086729,0.047099337,-0.908367727,-0.504390256,4.06430165,0.028546438,0.016161883,0.048897331,0.113605981,0.066979057,0.292676493,0.05241102,0.027907183,0.066772845,0.010890865,0.003123301,0.013770304,0.669953392,0.755563053,2.292141192,0.035382012,0.021838183,0.079054699,0.327239881,2.977230969,0.309115899,0.042718368,0.163293544,1.04109699,0.536991519,0.205950664,0.503427275,0.202049472,-0.174989853,0.2621685,-0.118214217,0.082722951,0.025893152,0.218623778,#NAME?,#NAME?,#NAME?,0.178726196,0.296447754,0.864440918,1.595204757,-1.448100976,-1.529310233,0.19650054,0.143440921,0.424785934,0.848464966,0.234268188,0.538543701,0.053875878,-0.020806449,-0.078692482,-0.498977661,-0.271957397,-0.785018921,0.506491483,0.119450355,-0.16666682,0.289501914,0.163503077,0.472284697
1,0.013507041,2.709138776,0.063909178,2.548966531,0.056771577,0.3021245,0.085267944,0.018528166,1.850505656,0.127006044,0.080921196,0.302634555,0.536335701,0.222890781,0.002373092,0.001717953,0.009415995,2.838354911,2.699347208,2.411718302,0.031571793,0.011319504,0.031326919,-0.90102158,4.118308771,4.041460013,0.022283261,0.018719481,0.050467127,0.086934685,0.115178297,0.287243413,0.041113368,0.029367526,0.05652515,0.005713137,0.00787084,0.004466211,0.549902568,2.315374557,2.338750454,0.026775409,0.029971268,0.080820468,0.283647866,2.994674111,0.244311488,-0.768688634,0.132527078,0.816491405,0.508774723,0.205950664,0.002592605,0.161356606,0.303411841,0.030317025,-0.003941051,0.04983494,0.036077021,0.197735905,#NAME?,#NAME?,#NAME?,0.178726196,0.369384766,0.853622437,0.58852685,-1.337425344,-1.459522115,0.162171863,0.171941779,0.385901626,0.328384399,0.395294189,0.483078003,0.023742676,0.030683972,-0.124993461,-0.498977661,-0.202560425,-0.785018921,-0.769609353,0.191165796,-0.118700332,0.227452824,0.192073658,0.437284995
1,0.012728904,2.781317399,0.047487828,3.444194021,0.045457268,0.292760873,0.086717137,0.022290385,2.083002785,0.126924075,0.073956027,0.26776512,0.308211765,-0.083905704,0.002278298,0.001140929,0.009309676,2.886797257,2.826633011,2.440990838,0.036493905,0.015956349,0.020821047,-1.214434241,1.183073427,3.94034434,0.018809137,0.014433339,0.05039894,0.067912856,0.076949193,0.283855162,0.042540627,0.027427139,0.056956308,0.005384173,0.008624122,0.007960714,-0.433153056,1.485932503,2.325720292,0.022181591,0.020201871,0.079805625,0.26730698,2.974647089,0.26333725,-0.950647937,0.153163538,0.816491405,0.485846847,0.161011454,-0.007219776,0.181170672,0.078751475,-0.016917973,-0.151784457,0.047844263,0.023959519,0.195503197,#NAME?,#NAME?,#NAME?,0.185089111,0.296447754,0.853622437,0.649149088,-1.277827302,-1.416864435,0.157826119,0.137010708,0.378197426,0.404983521,0.288574219,0.483078003,0.005384173,-0.008624122,-0.13234747,-0.498977661,-0.202560425,-0.785018921,-0.581612451,0.265191983,-0.093645797,0.224067039,0.158364771,0.432303957
1,0.012861737,2.799467767,0.031825828,3.1063286,0.048269761,0.287773998,0.088643192,0.025790032,2.006616545,0.131243488,0.072486741,0.090866927,0.444650123,-0.170871216,0.001888916,0.001781624,0.009191197,2.939689916,2.746644465,2.523470185,0.030835106,0.024689017,0.019097799,-0.871856984,1.884111403,3.963543129,0.014081261,0.01975135,0.049474427,0.067997765,0.104313153,0.279107197,0.039877347,0.03225059,0.05911555,0.009527203,0.005981703,0.01572813,-0.155462705,1.617100491,2.350755624,0.017710125,0.027903403,0.077339357,0.270096478,2.960653628,0.315824738,-0.937484395,0.167821309,0.860766419,0.481451394,0.163532047,0.31449309,0.200539484,0.155367735,-0.148966112,0.082081283,0.03966723,0.03741411,0.193015138,#NAME?,#NAME?,#NAME?,0.178726196,0.304763794,0.777694702,1.176777665,0.240285836,-1.316996054,0.138133562,0.162809549,0.371632755,0.298568726,0.540985107,0.599258423,-0.013898577,0.021966843,-0.138613746,-0.498977661,-0.202560425,-0.785018921,-0.861269848,0.750559583,-0.068316252,0.203587235,0.196921676,0.427190163
1,0.011696245,2.740928852,0.037903698,3.222649393,0.048161548,0.285094096,0.080332785,0.01470783,2.071305945,0.122053896,0.074195911,0.533088671,0.617474029,0.165146687,0.001688003,0.001109276,0.008898966,2.844747492,2.877619027,2.52629309,0.031106652,0.018580479,0.013410856,-0.635408635,1.43000662,3.704782952,0.017415089,0.01273128,0.04902443,0.076787503,0.071816254,0.271859056,0.034944377,0.028626316,0.058483202,0.004287626,0.003808405,0.013543728,0.519807225,1.243562299,2.296095199,0.022141323,0.017444205,0.075845998,0.245621147,2.969160515,0.200903814,-0.866102243,0.149038184,0.816491405,0.46270328,0.163532047,0.245657668,0.181942744,-0.072621877,-0.276364082,-0.316265947,0.035448062,0.023294792,0.186878293,#NAME?,#NAME?,#NAME?,0.107696533,0.296447754,0.777694702,1.695633847,-1.190383481,-1.399819171,0.12439906,0.134481002,0.363383529,0.282623291,0.288574219,0.492782593,-0.027008783,-0.017815726,-0.146488008,-0.498977661,-0.202560425,-0.785018921,-1.056914976,0.374080114,-0.129247439,0.190930661,0.155326306,0.416761963
1,0.013065918,2.803817961,0.029172055,4.104673869,0.045935324,0.30091373,0.088380937,0.03205182,2.316372585,0.134055004,0.07427964,0.330291378,0.626732281,0.225028486,0.00149907,0.0021615,0.009405348,2.915984473,2.95117129,2.414250282,0.022719663,0.022605573,0.010669582,-0.611070729,-0.090684595,4.081862719,0.014126783,0.014583018,0.050486881,0.0695347,0.079076356,0.287322073,0.034566978,0.042914423,0.056573604,0.011576598,0.00930666,0.00381746,0.485365325,0.22137603,2.350877784,0.017871873,0.01832608,0.080715638,0.274384288,2.95626062,0.315824738,-0.794874253,0.172074966,0.910896504,0.483228172,0.163532047,0.384804654,0.207167957,0.582633405,-0.34400657,-0.176638158,0.031480472,0.045391506,0.19751231,#NAME?,#NAME?,#NAME?,0.107696533,0.304763794,0.853622437,4.194925702,1.326093981,-1.463169346,0.114586032,0.163200119,0.385696861,0.282623291,0.288574219,0.479354858,-0.021145049,-0.039585658,-0.125188918,-0.617980957,-0.655151367,-0.785018921,-1.344628286,-0.799695296,-0.121375473,0.180513232,0.214512716,0.436957718
1,0.012502115,2.755746262,0.042553285,4.335798015,0.044952759,0.305198497,0.08269809,0.029895948,2.369069887,0.118840943,0.077112244,0.038998005,0.354391963,0.423159263,0.00057801,0.001438199,0.010485906,2.869088478,2.857939969,2.545945359,0.007256675,0.026474134,0.035539395,0.114598676,-0.734913007,4.265132806,0.009112338,0.015647581,0.049473534,0.047208707,0.06884801,0.297935036,0.020856489,0.03269883,0.065285624,0.001844918,0.003969863,0.004340929,0.591619235,0.359196627,2.351132565,0.012254302,0.019683357,0.080838593,0.262544419,2.958781752,0.339736061,-0.995188727,0.16564946,0.835094751,0.473793402,0.163532047,0.33356822,0.19991859,0.204919585,-0.248950779,-0.482341223,0.012138214,0.030202174,0.220204031,#NAME?,#NAME?,#NAME?,0.172439575,0.296447754,0.864440918,0.376680465,-0.116280898,-1.381657272,0.083645568,0.141279156,0.414198826,0.282623291,0.288574219,0.694320679,0.033186413,-0.032927014,-0.097982497,-0.074676514,-0.455276489,-0.785018921,1.045903438,-0.275356145,-0.005673129,0.107650916,0.174853895,0.470248482
1,0.012510777,2.78459237,0.04033782,4.260608466,0.043852715,0.299392089,0.084988955,0.03079945,2.341297241,0.121874705,0.074511994,0.253275445,0.500930737,0.356932947,0.000737782,0.001071842,0.010701153,2.841096619,2.813561674,2.695909509,0.02879256,0.017536878,0.04149707,-1.541683669,1.526206869,4.597672168,0.01309958,0.014680086,0.042604572,0.044586991,0.076766348,0.292553783,0.023032548,0.026294766,0.072547391,0.005904949,0.008313347,0.021376838,0.282476448,1.540930946,2.441810892,0.014752894,0.019986218,0.075564081,0.262726317,2.964911916,0.200903814,-0.865121301,0.156533022,0.820535672,0.476905927,0.163532047,0.242006299,0.192487419,0.368736857,-0.322201909,-0.25281112,0.015493421,0.022508687,0.224724209,#NAME?,#NAME?,#NAME?,0.107696533,0.296447754,0.864440918,0.69582071,-0.890335168,-1.491325261,0.094433843,0.126270597,0.428023358,0.282623291,0.288574219,0.505249023,-0.007318406,-0.034047445,-0.073527745,-0.240463257,-0.202560425,-0.785018921,0.793932071,0.614886606,-0.246381537,0.127325785,0.149722849,0.479878915
1,0.011922251,2.778345626,0.075042428,2.310918838,0.049699575,0.271551161,0.084708558,0.025638543,1.761065093,0.129760229,0.070597784,0.602789106,0.579838664,0.561767638,0.000862761,0.001999026,0.009060465,2.847760184,2.886079485,2.645164372,0.030191669,0.029814078,0.065332664,-1.573424226,-0.056164508,3.213090444,0.014379618,0.017610133,0.047869712,0.046764318,0.088571504,0.260217528,0.024989586,0.038770086,0.066000557,0.005448785,0.011904785,0.01397112,0.320009562,0.835299562,2.049196724,0.015817563,0.022818883,0.070282367,0.250367279,2.972847786,0.275417012,-1.175298432,0.14878025,0.721370803,0.469505554,0.163532047,-0.043886724,0.177280581,0.644041589,-0.438569535,-0.531049092,0.018117973,0.04197954,0.190269765,#NAME?,#NAME?,#NAME?,0.107696533,0.296447754,0.742935181,0.462958958,0.275486287,-1.388513039,0.1001562,0.147592627,0.395770637,0.282623291,0.288574219,0.505249023,-0.013994489,-0.0583794,-0.019829886,-0.266662598,-0.537246704,-0.688690186,0.471939528,-0.586296506,-0.37135759,0.137179567,0.201246007,0.446509091
